contributor_employer,employer_categories,cleaned_boss,number_jobs,num_donations,total_donations
FORCE 3 INC.,FORCE 3 INC,FORCE 3 INC,5,5,1710
GEOSYNTEC CONSULTANTS,GEOSYNTEC CONSULTANTS,GEOSYNTEC CONSULTANTS,5,5,10500
GMMB INC,GMMB IINC,GMMB INC,5,5,2500
HOGAN LOVELLS,HOGAN LOVELLS,HOGAN LOVELLS,5,5,7550
HOGAN LOVELLS US LLP,HOGAN LOVELLS US LLP,HOGAN LOVELLS US LLP,5,5,5446.4
HOLLAND & KNIGHT LLP,HOLLAND & KNIGHT LLP,HOLLAND & KNIGHT LLP,5,5,2925
HOUSE OF REPRESENTATIVES,HOUSE OF REPRESENTATIVES,HOUSE OF REPRESENTATIVES,5,5,4625
HUD,HUD,HUD,5,5,9970
INTRAFI,INTRAFI,INTRAFI,5,5,50500
INVARIANT,INVARIANT,INVARIANT,5,5,7250
KLEIN/JOHNSON GROUP,KLEIN/JOHNSON GROUP,KLEIN/JOHNSON GROUP,5,5,30050
MEDSTAR,MEDSTAR,MEDSTAR,5,5,3503.64
SOCIAL SECURITY ADMINISTRATION,US GOV,SOCIAL SECURITY ADMINISTRATION,5,5,1633
UMBC,UMBC,UMBC,5,5,1782.5
US ENVIRONMENTAL PROTECTION AGENCY,US ENVIRONMENTAL PROTECTION AGENCY,US ENVIRONMENTAL PROTECTION AGENCY,5,5,955
US NAVY,US NAVY,US NAVY,5,5,616.25
US SENATE,US GOV,U.S. SENATE,5,5,9061.25
USDOJ,US GOV,US DOJ,5,5,1574
VERIZON,VERIZON,VERIZON,5,5,1222.5
ABT ASSOCIATES,ABT ASSOCIATES,ABT ASSOCIATES,4,4,924
AGM FINANCIAL SERVICES,AGM FINANCIAL SERVICES INC,AGM FINANCIAL SERVICES INC,4,4,9250
AMAZON.COM INC,AMAZON.COM INC,AMAZON.COM INC,4,4,4393
BAKER BOTTS LLP,BAKER BOTTS L.L.P.,BAKER BOTTS L.L.P.,4,4,6070.51
BCH,BCH,BCH,4,4,14258.58
BOOZ ALLEN HAMILTON,BOOZ ALLEN HAMILTON,BOOZ ALLEN HAMILTON,4,4,695.27
BRIGHTVIEW SENIOR LIVING,BRIGHTVIEW SENIOR LIVING,BRIGHTVIEW SENIOR LIVING,4,4,13100
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",BROWNSTEIN HYATT FARBER SCHRECK LLP,BROWNSTEIN HYATT FARBER SCHRECK LLP,4,4,3250
CHILDREN'S NATIONAL HOSPITAL,CHILDREN'S NATIONAL HOSPITAL,CHILDREN'S NATIONAL HOSPITAL,4,4,4550
COMCAST CORP,COMCAST CORP,COMCAST CORP,4,4,1550
COMMUNITY COLLEGE OF BALTIMORE COUNTY,COMMUNITY COLLEGE OF BALTIMORE COUNTY,COMMUNITY COLLEGE OF BALTIMORE COUNTY,4,4,4398
CONSTITUTION PARTNERS,CONSTITUTION PARTNERS,CONSTITUTION PARTNERS,4,4,7466.67
COOLEY LLP,COOLEY LLP,COOLEY LLP,4,4,2250
CROWELL & MORING,CROWELL & MORING,CROWELL & MORING LLP,4,4,5300
CROWELL & MORING LLP,CROWELL & MORING LLP,CROWELL & MORING LLP,4,4,3000
EXELON CORP,EXELON CORP,EXELON CORP,4,4,2000
FANNIE MAE,FANNIE MAE,FANNIE MAE,4,4,3578
FOLEY & LARDNER LLP,FOLEY & LARDNER LLP,FOLEY & LARDNER LLP,4,4,4500
HLP&R ADVOCACY,HLP&R ADVOCACY,HLP&R ADVOCACY,4,4,5800
HOLLAND & HART LLP,HOLLAND & HART LLP,HOLLAND & HART LLP,4,4,1415
HOLLAND & KNIGHT,HOLLAND  KNIGHT,HOLLAND  KNIGHT,4,4,3750
HOUSING AUTHORITY OF BALTIMORE CITY,HOUSING AUTHORITY OF BALTIMORE CITY,HOUSING AUTHORITY OF BALTIMORE,4,4,2250
HUGHES STRATEGIES,HUGHES STRATEGIES,HUGHES STRATEGIES,4,4,2888
IBM,I.B.M.,I.B.M.,4,4,900
INDUSTRIAL BANK,INDUSTRIAL BANK,INDUSTRIAL BANK,4,4,2350
JHU,JHU,JHU,4,4,1278
JHU/APL,JOHNS HOPKINS,JHU/APL,4,4,1354.1
JOHNS HOPKINS HEALTH SYSTEM,JOHNS HOPKINS HEALTH SYSTEM,JOHNS HOPKINS HEALTH SYSTEM,4,4,4250
JOHNS HOPKINS HOSPITAL,JOHNS HOPKINS HOSPITAL,JOHNS HOPKINS HOSPITAL,4,4,4451
JOHNS HOPKINS MEDICINE,JOHNS HOPKINS MEDICINE,JOHNS HOPKINS MEDICINE,4,4,1600
LIBERTY GOVERNMENT AFFAIRS,LIBERTY GOVERNMENT AFFAIRS,LIBERTY GOVERNMENT AFFAIRS,4,4,4000
LIFEBRIDGE HEALTH,LIFEBRIDGE HEALTH,LIFEBRIDGE HEALTH,4,4,2250
MARYLAND-NAT CAPITAL PARK AND PLANNING,MARYLAND-NAT CAPITAL PARK AND PLANNING,MARYLAND-NAT CAPITAL PARK AND PLANNING,4,4,818
MAXIMUS,MAXIMUS,MAXIMUS,4,4,2128
MEHLMAN CONSULTING,MEHLMAN CONSULTING,MEHLMAN CONSULTING,4,4,2750
MERRILL LYNCH,MERRILL LYNCH,MERRILL LYNCH,4,4,5320.5
NATIONAL CANCER INSTITUTE,NATIONAL CANCER INSTITUTE,NATIONAL CANCER INSTITUTE,4,4,12750
NAVY,NAVY,NAVY,4,4,721.7
NOAA,NOAA,NOAA,4,4,1485
NORTHWESTERN MUTUAL,NORTHWESTERN MUTUAL,NORTHWESTERN MUTUAL,4,4,7650
OPTUM,OPTUM,OPTUM,4,4,880
PLAXEN & ADLER,PLAXEN & ADLER,PLAXEN & ADLER,4,4,4000
PRINC GEORGE'S COUNTY,PRINCE GEORGES COUNTY,PRINC GEORGE'S COUNTY,4,4,850
RICH FEUER ANDERSON,RICH FEUER ANDERSON,RICH FEUER ANDERSON,4,4,4500
SAIC,SAIC,SAIC,4,4,1118.18
SMITHSONIAN,SMITHSONIAN,SMITHSONIAN,4,4,3500
SOMERSET DEVELOPMENT COMPANY,SOMERSET DEVELOPMENT,SOMERSET DEVELOPMENT,4,4,6000
STEPTOE LLP,STEPTOE LLP,STEPTOE LLP,4,4,3050
STERNHELL GROUP,STERNHELL GROUP,STERNHELL GROUP,4,4,12100
TIBER CREEK GROUP,TIBER CREEK GROUP,TIBER CREEK GROUP,4,4,7800
UMD,UMD,UMD,4,4,2500
UNIVERSITY OF BALTIMORE,UNIVERSITY OF BALTIMORE,UNIVERSITY OF BALTIMORE,4,4,7500
UNIVERSITY OF MARYLAND MEDICAL SYSTEM,UNIVERSITY OF MARYLAND MEDICAL SYSTEM,UNIVERSITY OF MARYLAND MEDICAL SCHOOL,4,4,6095
US DEPARTMENT OF STATE,US GOV,U.S DEPARTMENT OF STATE,4,4,6945
VENABLE,VENABLE,VENABLE,4,4,4825
WILLIAMS & CONNOLLY LLP,WILLIAMS & CONNOLLY LLP,WILLIAMS & CONNOLLY LLP,4,4,3250
WMATA,WMATA,WMATA,4,4,668
ZUCKERMAN SPAEDER LLP,ZUCKERMAN SPAEDER,ZUCKERMAN SPAEDER,4,4,4950
AFL-CIO,AFL-CIO,AFL-CIO,3,3,2500
"AGM FINANCIAL SERVICES, INC.",AGM FINANCIAL SERVICES INC,AGM FINANCIAL SERVICES INC,3,3,3500
AIM,AIM,AIM,3,3,496.28999999999996
ANNDYL POLICY GROUP,ANNDYL POLICY GROUP,ANNDYL POLICY GROUP,3,3,3050
ARMY,ARMY,ARMY,3,3,2700
ARNOLD & PORTER LLP,ARNOLD & PORTER LLP,ARNOLD & PORTER LLP,3,3,3200
ASPEN INSTITUTE,ASPEN INSTITUTE,ASPEN INSTITUTE,3,3,1250
ASSOCIATION OF AMERICAN MEDICAL COLLEG,ASSOCIATION OF AMERICAN MEDICAL COLLEG,ASSOCIATION OF AMERICAN MEDICAL COLLEG,3,3,700
ASTRAZENECA,ASTRAZENECA,ASTRAZENECA,3,3,519.32
AVOQ,AVOQ,AVOQ,3,3,15500
BAKER MCKENZIE,BAKER MCKENZIE,BAKER MCKENZIE,3,3,2071.25
BALTIMORE CITY,BALTIMORE CITY,BALTIMORE CITY,3,3,540.88
BALTIMORE CITY PUBLIC SCHOOLS,BALTIMORE CITY PUBLIC SCHOOLS,BALTIMORE CITY PUBLIC SCHOOLS,3,3,1278.22
BALTIMORE CITY SCHOOLS,BALTIMORE CITY SCHOOLS,BALTIMORE CITY PUBLIC SCHOOLS,3,3,91.25
BALTIMORE COUNTY PUBLIC SCHOOLS,BALTIMORE COUNTY,BALTIMORE COUNTY PUBLIC SCHOOLS,3,3,2550
BANK OF AMERICA,BANK OF AMERICA,BANK OF AMERICA,3,3,1110
BMS,BMS,BMS,3,3,11500
BOEING,BOEING,BOEING,3,3,2912.5
BOOZ ALLEN HAMILTON CORP,BOOZ ALLEN HAMILTON,BOOZ ALLEN HAMILTON,3,3,1450
BOSE PUBLIC AFFAIRS GROUP,BOSE PUBLIC AFFAIRS GROUP,BOSE PUBLIC AFFAIRS GROUP,3,3,4300
BRISTOL MYERS SQUIBB,BRISTOL MYERS SQUIBB,BRISTOL MYERS SQUIBB,3,3,2250
BRISTOL-MYERS SQUIBB CO,BRISTOL-MYERS SQUIBB CO,BRISTOL MYERS SQUIBB,3,3,2000
BROOKINGS INSTITUTION,BROOKINGS INSTITUTION,BROOKINGS INSTITUTE,3,3,1700
CAPITAL ONE FINANCIAL CORP,CAPITAL ONE FINANCIAL CORP,CAPITAL ONE FINANCIAL CORP,3,3,1000
CAPITOL COUNSEL,CAPITOL COUNSEL,CAPITOL COUNSEL,3,3,5800
CAVES VALLEY PARTNERS,CAVES VALLEY PARTNERS,CAVES VALLEY PARTNERS,3,3,5000
CENTER FOR AMERICAN PROGRESS,CENTER FOR AMERICAN PROGRESS,CENTER FOR AMERICAN PROGRESS,3,3,4200
CENTERS FOR MEDICARE & MEDICAID SERVIC,CENTERS FOR MEDICARE & MEDICAID,CENTERS FOR MEDICARE & MEDICAID,3,3,900
CGCN,CGCN,CGCN,3,3,2000
CHARTER COMMUNICATIONS,CHARTER COMMUNICATIONS,CHARTER COMMUNICATIONS,3,3,1750
CHERTOFF CAPITAL,CHERTOFF CAPITAL,CHERTOFF CAPITAL,3,3,8600
CITY OF HYATTSVILLE,CITY OF HYATTSVILLE,CITY OF HYATTSVILLE,3,3,3300
CLEARY GOTTLIEB STEEN & HAMILTON LLP,CLEARY GOTTLIEB STEEN  HAMILTON LLP,CLEARY GOTTLIEB STEEN  HAMILTON LLP,3,3,1850
COCO B PRODUCTIONS,COCO B PRODUCTIONS,COCO B PRODUCTIONS,3,3,2028.24
COE,COE,COE,3,3,1750
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER FINANCIAL PROTECTION BUREAU,3,3,960
CROSSROADS STRATEGIES,CROSSROADS STRATEGIES,CROSSROADS STRATEGIES,3,3,3500
CSIS,C.S.I.S.,C.S.I.S.,3,3,2000
DAVIS WRIGHT TREMAINE LLC,DAVIS WRIGHT TREMAINE LLC,DAVIS WRIGHT TREMAINE LLC,3,3,1866.6599999999999
DC GOVERNMENT,DC GOV,D.C. GOVERNMENT,3,3,1282.35
DELOITTE TAX LLP,DELOITTE TAX LLP,DELOITTE TAX LLP,3,3,4050
DEPARTMENT OF JUSTICE,US GOV,DEPARTMENT OF JUSTICE,3,3,1425
DHS,DHS,DHS,3,3,436.2
DININO ASSOCIATES LLC,DININO ASSOCIATES LLC,DININO ASSOCIATES LLC,3,3,8000
"DININO ASSOCIATES, LLC",DININO ASSOCIATES LLC,DININO ASSOCIATES LLC,3,3,5500
DOUGLAS LEGUM DEVELOPMENT LLC,DOUGLAS LEGUM DEVELOPMENT LLC,DOUGLAS LEGUM DEVELOPMENT LLC,3,3,5534
EXELON,EXELON,EXELON,3,3,3000
FED GOVT,US GOV,FED GOV'T,3,3,723.01
FEDERATION OF AMERICAN HOSPITALS,FEDERATION OF AMERICAN HOSPITALS,FEDERATION OF AMERICAN HOSPITALS,3,3,1100
FREDERICK COUNTY PUBLIC SCHOOLS,FREDERICK COUNTY,FREDERICK COUNTY PUBLIC SCHOOLS,3,3,277
FREESTATE ELECTRIC,FREESTATE ELECTRIC,FREESTATE ELECTRIC,3,3,2250
GALLAGHER EVELIUS & JONES,GALLAGHER EVELIUS & JONES,GALLAGHER EVELIUS & JONES,3,3,2250
GE AEROSPACE,GE AEROSPACE,GE AEROSPACE,3,3,2500
GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY,3,3,2020
GREENLIGHT STRATEGIES LLC,GREENLIGHT STRATEGIES LLC,GREENLIGHT STRATEGIES LLC,3,3,4000
GWU,GWU,GWU,3,3,1400
HARBINGER STRATEGIES,HARBINGER STRATEGIES,HARBINGER STRATEGIES,3,3,7600
HOLLAND AND KNIGHT,HOLLAND AND KNIGHT,HOLLAND  KNIGHT,3,3,5450
HOLY CROSS HEALTH,HOLY CROSS HEALTH,HOLY CROSS HEALTH,3,3,650
HOOPER & ASSOCIATES,HOOPER & ASSOCIATES,HOOPER & ASSOCIATES,3,3,1500
HOWARD HUGHES MEDICAL INSTITUTE,HOWARD HUGHES MEDICAL INSTITUTE,HOWARD HUGHES MEDICAL INSTITUTE,3,3,455
HUDSON INSTITUTE,HUDSON INSTITUTE,HUDSON INSTITUTE,3,3,11900
IMPERIUM GLOBAL ADVISORS,IMPERIUM GLOBAL ADVISORS,IMPERIUM GLOBAL ADVISORS,3,3,3500
IRS,IRS,IRS,3,3,305
"ITA INTERNATIONAL, LLC",ITA INTERNATIONAL LLC,ITA INTERNATIONAL LLC,3,3,5732.5
KAISER PERMANENTE,KAISER PERMANENTE,KAISER PERMANENTE,3,3,631
KBR,KBR,KBR,3,3,487
KELLY BENEFITS,KELLY BENEFITS,KELLY BENEFITS,3,3,14200
KL GATES,KL GATES,KL GATES,3,3,2500
KPMG,KPMG,KPMG,3,3,11800
KRAMON & GRAHAM PA,KRAMON & GRAHAM P.A.,KRAMON & GRAHAM P.A.,3,3,1000
LASZLO STRATEGIES,LASZLO STRATEGIES,LASZLO STRATEGIES,3,3,2944
LERCH EARLY & BREWER,LERCH EARLY & BREWER,LERCH EARLY & BREWER,3,3,1300
LEVY FIRESTONE MUSE LLP,LEVY FIRESTONE MUSE LLP,LEVY FIRESTONE MUSE LLP,3,3,10500
LINQUEST,LINQUEST,LINQUEST,3,3,3017.91
LONG AND FOSTER REAL ESTATE,LONG AND FOSTER,LONG AND FOSTER,3,3,906.85
LOYOLA UNIVERSITY MARYLAND,LOYOLA UNIVERSITY MARYLAND,LOYOLA UNIVERSITY MARYLAND,3,3,575
LUMINIS HEALTH,LUMINIS HEALTH,LUMINIS HEALTH,3,3,6400
MARYLAND INSTITUTE COLLEGE OF ART,MARYLAND INSTITUTE COLLEGE OF ART,MARYLAND INSTITUTE COLLEGE OF ART,3,3,1344
MEHLMAN CONSULTING INC,MEHLMAN CONSULTING INC,MEHLMAN CONSULTING,3,3,4000
META PLATFORMS INC,META PLATFORMS,META PLATFORMS,3,3,7300
MICROSOFT,MICROSOFT,MICROSOFT,3,3,2100
MICROSOFT CORP,MICROSOFT CORP,MICROSOFT CORP,3,3,2500
MORRISON & FOERSTER,MORRISON & FOERSTER LLP,MORRISON & FOERSTER LLP,3,3,4750
MOTLEY RICE LLC,MOTLEY RICE LLC,MOTLEY RICE LLC,3,3,7600
NATURE FORWARD,NATURE FORWARD,NATURE FORWARD,3,3,120
NIST,NIST,NIST,3,3,2769
"NVG, LLC",NVG LLC,NVG LLC,3,3,2400
O&R CONSULTING,O&R CONSULTING,O&R CONSULTING,3,3,1450.74
O'MALLEY MILES NYLEN & GILMORE PA,O'MALLEY MILES NYLEN & GILMORE P.A.,O'MALLEY MILES NYLEN & GILMORE P.A.,3,3,1698.91
OAK HILL STRATEGIES,OAK HILL STRATEGIES,OAK HILL STRATEGIES,3,3,1000
PAUL HASTINGS LLP,PAUL HASTINGS LLP,PAUL HASTINGS LLP,3,3,2391.68
PHARMACEUTICAL CARE MANAGEMENT ASSOCIA,PHARMACEUTICAL CARE MANAGEMENT ASSOCIA,PHARMACEUTICAL CARE MANAGEMENT ASSOCIA,3,3,1000
PRINCE GEORGE'S COUNTY ECONOMIC DEVELO,PRINCE GEORGES COUNTY,PRINCE GEORGE'S COUNTY ECONOMIC DEVELO,3,3,1550
PWC,PWC,PWC,3,3,377
RE/MAX,RE/MAX,RE/MAX,3,3,1180
REGAL,REGAL,REGAL,3,3,1710
REGAN ZAMBRI & LONG PLLC,REGAN ZAMBRI & LONG PLLC,REGAN ZAMBRI & LONG PLLC,3,3,1000
REPUBLIC CONSULTING,REPUBLIC CONSULTING,REPUBLIC CONSULTING,3,3,5000
RK&K,RK&K,RK&K,3,3,535
ROADSIDE DEVELOPMENT,ROADSIDE DEVELOPMENT,ROADSIDE DEVELOPMENT,3,3,2250
RSM US,RSM US,RSM US,3,3,1000
SAGE VENTURES LLC,SAGE VENTURES LLC,SAGE VENTURES LLC,3,3,3000
SALESFORCE,SALESFORCE,SALESFORCE,3,3,950
